Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Lyrics	Spotify_URL	MP3_Path	Date_collected
EXCE-001	Growling	Cannibal Corpse	Gore Obsessed	28	Sanded Faceless	2002	219999	15	3:51	3:25-3:28	"""Tedious rasping, Painstakingly grate the skin"""	https://open.spotify.com/track/6Pc9WrmJwQ8PnirdzZs21w?si=578f9344bcc14704	excerpts_audio/EXCE-001.mp3	5/3/2025
EXCE-002	Growling	Cannibal Corpse	Gore Obsessed	28	Drowning in Viscera	2002	284499	16	3:36	1:20-1:25	"""Inundated languid doom"""	https://open.spotify.com/track/5ISIhBnzmN5c7YV6btNv98?si=49136a3aeb9c4508	excerpts_audio/EXCE-002.mp3	5/3/2025
EXCE-003	Growling	Cannibal Corpse	Gore Obsessed	28	Hung and Bled	2002	227125	16	4:13	3:06-3:10	"""Devoured by evil, Slave to this hell"""	https://open.spotify.com/track/7oSwyTjxl0BsDbmo0wRHF4?si=aa416c6b64d14cb3	excerpts_audio/EXCE-003.mp3	5/3/2025
EXCE-004	Growling	Cannibal Corpse	Vile	31	Eaten from Inside	1996	405383	18	3:43	1:59-2:03	"""Severing, parts and veins in the way"""	https://open.spotify.com/track/1WqkUxNmokP1zxOrl41Pwu?si=b4b8cefbf2534504	excerpts_audio/EXCE-004.mp3	6/3/2025
EXCE-005	Growling	Cannibal Corpse	Vile	31	Monolith	1996	363202	18	4:24	1:39-1:43	"""Countless decomposing corpses walk upon the earth"""	https://open.spotify.com/track/5glOU6uyWmQrbuL6mbBMr2?si=8e8d68d36de04c27	excerpts_audio/EXCE-005.mp3	6/3/2025
EXCE-006	Growling	Cannibal Corpse	Vile	31	Puncture Wound Massacre	1996	460495	19	1:41	1:09-1:12	"""Hate for them still drives my rage"""	https://open.spotify.com/track/6tNy0SL7YeBrTJmDwTjnzA?si=f82c6bca6cbc4c52	excerpts_audio/EXCE-006.mp3	6/3/2025
EXCE-007	Growling	Cannibal Corpse	A Skeletal Domain	32	Bloodstained Cement	2014	559513	16	3:41	2:06-2:10	"""No weakness to exploit, His ambush failed"""	https://open.spotify.com/track/5RGufl8vRVwPf04em0xqcn?si=cd7af11212014928	excerpts_audio/EXCE-007.mp3	6/3/2025
EXCE-008	Growling	Cannibal Corpse	A Skeletal Domain	32	Asphyxiate to Resuscitate	2014	548934	16	3:47	1:52-1:57	"""Choking, Starling, Breathless, Asphyxiate"""	https://open.spotify.com/track/1LWanVoLc3bVtT7ItW4Ijc?si=2aea4ec1f83840f9	excerpts_audio/EXCE-008.mp3	6/3/2025
EXCE-009	Growling	Cannibal Corpse	A Skeletal Domain	32	Hollowed Bodies	2014	493877	16	3:05	1:18-1:22	"""13 more corpses are found"""	https://open.spotify.com/track/4Jw4JYroLKiKgPqgsAuxgR?si=229f9eaca0f34c1f	excerpts_audio/EXCE-009.mp3	6/3/2025
EXCE-010	Growling	Carcass	Wake Up and Smell the...	27	Hepatic Tissue Fermentation	1996	73982	6	6:11	2:41-2:48	"""The blood now critically proof, neural cells fataly quenched"""	https://open.spotify.com/track/7zGW4B7tw5WqerzHIBrQbB?si=dcd1f022a3404800	excerpts_audio/EXCE-010.mp3	6/3/2025
EXCE-011	Growling	Carcass	Wake Up and Smell the...	27	Hepatic Tissue Fermentation II	1996	231182	7	6:39	2:24-2:28	"""Bodily distillation, as emerged flesh reacts"""	https://open.spotify.com/track/5CuPyCvkYSJZPei4fcTt5k?si=ac66902a26ce49f2	excerpts_audio/EXCE-011.mp3	6/3/2025
EXCE-012	Growling	Carcass	Wake Up and Smell the...	27	Edge of Darkness - Radio 1 Rock Show Session	1996	85384	8	5:48	2:08-2:13	"""Decline, decension to a new dark age """	https://open.spotify.com/track/6Ce4IlQrRVEzSRBxTgCmZ9?si=279c3e20820241c2	excerpts_audio/EXCE-012.mp3	6/3/2025
EXCE-013	Growling	Carcass	Reek of Putrefaction	27	Splattered Cavities	1988	72655	9	1:54	0:57-1:00	"""Pelvic insides now rest in your perineum"""	https://open.spotify.com/track/3o9vRPTxlKxbtK3NTEvJWl?si=f810a1d3c685491d	excerpts_audio/EXCE-013.mp3	6/3/2025
EXCE-014	Growling	Carcass	Reek of Putrefaction	27	Pungent Excruciation	1988	66862	9	2:31	1:29-1:32	"""As the clotted parasites devour the excretion"""	https://open.spotify.com/track/2uYPE5iRK98s15ubsx9CR6?si=4d7a7798674a4c93	excerpts_audio/EXCE-014.mp3	6/3/2025
EXCE-015	Growling	Carcass	Reek of Putrefaction	27	Malignant Defecation	1988	75706	9	2:15	1:12-1:15	"""Waiting dormantly, it knows you're easy prey"""	https://open.spotify.com/track/6ZKUE9jsLoaZ0fWnGjgBfi?si=a972346fdfdc4c9e	excerpts_audio/EXCE-015.mp3	6/3/2025
EXCE-016	Growling	Carcass	Symphonies of Sickness	28	Crepitating Bowel Erosion	1989	161136	12	5:28	2:19-2:24	"""Munch the mouldy scabs, lick the septic gash"""	https://open.spotify.com/track/071DyvJmbN1A7AaI4Fsq8C?si=542d7dc24eb147dc	excerpts_audio/EXCE-016.mp3	6/3/2025
EXCE-017	Growling	Carcass	Symphonies of Sickness	28	Cadaveric Incubator of Endoparasites	1989	173277	13	3:23	1:37-1:40	"""Come and take a bite"""	https://open.spotify.com/track/4ly3gj3P7cFot8NzUqb7Vv?si=08a00c6ddcbf4add	excerpts_audio/EXCE-017.mp3	6/3/2025
EXCE-018	Growling	Carcass	Symphonies of Sickness	28	Slash Dementia	1989	114173	14	3:23	1:34-1:39	"""Skewering eye-orbits, brain, genitals and organs I grind"""	https://open.spotify.com/track/0wPFkTHQKj1QhiCQHL8IfY?si=744fa64f90e54bfb	excerpts_audio/EXCE-018.mp3	6/3/2025
EXCE-019	Growling	Devourment	Unleash the Carnivore	17		2017							excerpts_audio/EXCE-019.mp3	16/3/2025
EXCE-020	Growling	Devourment	Unleash the Carnivore	17		2017							excerpts_audio/EXCE-020.mp3	16/3/2025
EXCE-021	Growling	Devourment	Unleash the Carnivore	17		2017							excerpts_audio/EXCE-021.mp3	16/3/2025
EXCE-022	Growling	Devourment	Butcher The Weak	17		2005							excerpts_audio/EXCE-022.mp3	16/3/2025
